timestamp,latency,queue_id
1762600354.713001,8825664,0
1762600354.713002,8695035,3
1762600354.713202,4864786,5
1762600354.713203,4583110,7
1762600354.713470,9294464,0
1762600354.713472,6045510,1
1762600354.713740,7053763,2
1762600354.713741,7615389,3
1762600354.713941,5046051,1
1762600354.713942,5790849,2
1762600354.714209,8083874,3
1762600354.714211,5871081,5
1762600354.714478,5857371,7
1762600354.714479,8826069,0
1762600354.714679,5783445,1
1762600354.714680,6528244,2
1762600354.714949,8062239,3
1762600354.714949,5132961,5
1762600354.715216,5116529,7
1762600354.715218,9563460,0
1762600354.715418,4902619,1
1762600354.715419,5790592,2
1762600354.715687,8799636,3
1762600354.715688,5870356,5
1762600354.715955,5853921,7
1762600354.715957,8079500,0
1762600354.716156,5640011,1
1762600354.716158,6527985,2
1762600354.716425,6581744,3
1762600354.716427,5085291,5
1762600354.716694,5242665,7
1762600354.716695,8816898,0
1762600354.716896,5295322,1
1762600354.716896,5668992,2
1762600354.717166,7319135,3
1762600354.717174,5822684,5
1762600354.717433,5980057,7
1762600354.717434,9546314,0
1762600354.717634,6032712,1
1762600354.717635,6406379,2
1762600354.717902,5132212,5
1762600354.717904,10015120,0
1762600354.718171,6551956,1
1762600354.718172,6324758,2
1762600354.718373,7252962,3
1762600354.718374,5601328,5
1762600354.718641,5853060,7
1762600354.718642,9914549,0
1762600354.718910,7289349,1
1762600354.718911,5111979,2
1762600354.719111,7990348,3
1762600354.719113,4863622,5
1762600354.719380,6590455,7
1762600354.719381,10651946,0
1762600354.719649,6116428,1
1762600354.719649,5849373,2
1762600354.719850,7155611,3
1762600354.719851,7051178,7
1762600354.720118,10647421,0
1762600354.720120,6585545,1
1762600354.720387,5516922,2
1762600354.720389,7674073,3
1762600354.720589,6339322,5
1762600354.720590,7788566,7
1762600354.720857,11384817,0
1762600354.720858,5989732,1
1762600354.721126,6254314,2
1762600354.721127,8059599,3
1762600354.721327,5592756,5
1762600354.721328,6786975,7
1762600354.721596,12095940,0
1762600354.721597,8528397,3
1762600354.721864,6128703,5
1762600354.721866,7322922,7
